pango,R,seq_volume
BA.2,-73.1863021850586,1095153
BA.2.1,-73.03992462158203,13844
BA.2.10,-80.31239318847656,53449
BA.2.10.1,-77.2801284790039,7867
BA.2.10.2,-71.47301483154297,1745
BA.2.11,-64.2155990600586,1007
BA.2.12,-61.137451171875,256
BA.2.12.1,-54.83107376098633,243319
BA.2.12.2,-64.00175476074219,1372
BA.2.13,-56.66286849975586,4445
BA.2.13.1,-45.76713943481445,1113
BA.2.14,-66.8548583984375,1585
BA.2.15,-65.70698547363281,262
BA.2.16,-77.5428237915039,495
BA.2.17,-75.5377426147461,393
BA.2.18,-56.96615219116211,11865
BA.2.19,-80.63215637207031,579
BA.2.2,-69.50914764404297,8039
BA.2.20,-70.37248229980469,1558
BA.2.21,-69.00786590576172,2048
BA.2.22,-72.50849914550781,7104
BA.2.23,-66.78592681884766,15150
BA.2.23.1,-62.68267059326172,1000
BA.2.24,-69.55499267578125,8445
BA.2.25,-72.9522476196289,701
BA.2.26,-75.1111068725586,1337
BA.2.27,-74.1034164428711,330
BA.2.29,-71.20133209228516,8835
BA.2.3,-73.71358489990234,95737
BA.2.3.1,-73.75342559814453,11742
BA.2.3.10,-69.94942474365234,827
BA.2.3.11,-73.71351623535156,2430
BA.2.3.12,-71.944091796875,1297
BA.2.3.13,-73.27190399169922,6721
BA.2.3.14,-70.69125366210938,1132
BA.2.3.15,-70.50154113769531,1551
BA.2.3.16,-72.23114013671875,251
BA.2.3.17,-75.81488037109375,2044
BA.2.3.18,-70.38026428222656,692
BA.2.3.2,-71.11832427978516,2260
BA.2.3.20,-7.9864182472229,3994
BA.2.3.4,-73.96499633789062,1005
BA.2.3.5,-73.42023468017578,355
BA.2.3.6,-65.93468475341797,1297
BA.2.3.7,-66.30563354492188,2117
BA.2.3.8,-73.20930480957031,282
BA.2.3.9,-70.8336410522461,779
BA.2.30,-68.84032440185547,285
BA.2.31,-72.47187805175781,2662
BA.2.31.1,-57.579952239990234,276
BA.2.32,-72.192626953125,1387
BA.2.33,-78.44210052490234,645
BA.2.34,-72.17456817626953,458
BA.2.35,-56.26853942871094,491
BA.2.36,-60.90460205078125,9589
BA.2.37,-74.72145080566406,6026
BA.2.38,-55.310760498046875,5662
BA.2.38.1,-32.671226501464844,912
BA.2.38.2,-31.41084861755371,516
BA.2.38.3,-40.21723556518555,239
BA.2.38.4,-41.4590950012207,305
BA.2.39,-66.97856903076172,647
BA.2.4,-75.27813720703125,463
BA.2.40,-78.72991180419922,978
BA.2.40.1,-54.06648635864258,2516
BA.2.41,-63.11070251464844,1461
BA.2.42,-58.98802947998047,1325
BA.2.43,-61.50932693481445,499
BA.2.44,-56.475425720214844,976
BA.2.45,-67.86656951904297,1032
BA.2.47,-63.54118347167969,1219
BA.2.48,-57.83638381958008,2127
BA.2.49,-68.5076675415039,1385
BA.2.5,-72.78688049316406,3400
BA.2.50,-61.60521697998047,727
BA.2.51,-72.36781311035156,528
